cnpj;empresa;email;estado;cidade;ano;mês;area1;area2
12345;coiote;coiote@mail.org;1;uberlandia;2014;jan;bomba;tinta
23451;papalegauas;papalegauas@mail.org;1;uberlandia;2006;fev;tenis;buzina
34512;acme;acme@mail.org;1;uberlandia;2009;mar;polvora;plasticovermelho
45123;houseofleaves;houseofleaves@mail.org;9;calif;2025;mai;d$3takn#se;
51234;navidson;navidson@mail.org;9;calif;2017;jun;filme;lanterna
13452;zampano;zampano@mail.org;9;calif;2019;jul;papel;papelao
14523;johnny;johnny@mail.org;9;calif;2020;ago;agulha;fralda
15234;poe;poe@mail.org;9;calif;2001;set;microfone;xarope
24513;paul;paul@mail.org;5;são ze;4578;nov;spice;wateroflife
25134;chani;chani@mail.org;0;bigua;4583;dez;badass;spice
21345;leto;leto@mail.org;0;bigua;4548;abr;treason;trap
35124;jessica;jessica@mail.org;4;floripa;4558;jan;baby;boy
31245;ghanima;ghanima@mail.org;0;bigua;4608;abr;spice;melange
32451;CHOAM;CHOAM@mail.org;7;palho;3985;fev;travel;spice
41235;arrakis;arrakis@mail.org;0;;1010;mar;spice;jihad
42351;liet;liet@mail.org;7;palho;4540;ma;chani;fate
43512;trafalgar;trafalgar@mail.org;3;bigua;2021;jun;eoq;massa
52341;sonic;sonic@mail.org;2;campeche;2000;jul;tenis;catiorokiente
53412;tails;tails@mail.org;6;canas;2005;abr;raspberrypy;tenis
54123;knuckles;knuckles@mail.org;8;rioverm;1998;out;porrete;tenis
